Node index,Node,Node color
0,Internal energy generation,"#D3D3D3"
1,Transformation processes,"#D3D3D3"
2,Losses,"#D3D3D3"
3,Internal energy supply,"#D3D3D3"
4,Total electricity supply,"#FABC13"
5,Total steam supply,"#4994CE"
6,External energy supply,"#D3D3D3"
7,Total primary energy consumption,"#7FC241"
8,Industrial processes,"#D3D3D3"
9,Total final consumption,"#7FC241"
10,Natural gas,"#F27420"
11,Heating oil,"#F27420"
12,Coal,"#F27420"
13,Residual fuels,"#F27420"
14,Waste heat,"#4994CE"
